license,name,municipality,county,county_source,address,city,zip,lat,lon,status
120700533,"Troy Duede Enterprises, Incorporated",East Peoria,Tazewell,igb_licensee_list,3304 Meadow Ave.,East Peoria,61611,,,needs_coordinates
140703438,"Troy Grove Tavern, Inc.",Troy Grove,La Salle,igb_licensee_list,307 E Church St,Troy Grove,61372,,,needs_coordinates
130702141,"Trucker's Pub, Inc.",Effingham,Effingham,igb_licensee_list,"1707 Avenue of Mid America, Suite C",Effingham,62401,,,needs_coordinates
150701753,"Tuckaway Development, LLC",Will County,Will,igb_licensee_list,27641 Stoney Island,Crete,60417,,,needs_coordinates
220703751,Tucker's Pub LLC,Eldred,Greene,igb_licensee_list,415 Vine Street,Eldred,62027,,,needs_coordinates
220700596,"Tulayne's Tavern, LLC",Red Bud,Randolph,igb_licensee_list,211/213 S Main Street,Red Bud,62278,,,needs_coordinates
240700911,"Tulie's, Inc.",Oakwood,Vermilion,igb_licensee_list,500 N Oakwood St,Oakwood,61858,,,needs_coordinates
190700917,Turbo Fire Pizza LLC,Springfield,Sangamon,igb_licensee_list,605 W Jefferson Suite F,Springfield,62702,,,needs_coordinates
210702979,Turbo Fire Slots LLC,Lincoln,Logan,igb_licensee_list,3097 woodlawn road,Lincoln,62656,,,needs_coordinates
120803496,Turn-Verein Frisch-AUF,Kane County,Kane,igb_licensee_list,1335 Mitchell Road Aurora,Aurora,60505,,,needs_coordinates
120703789,"Turtle's Tap II, Inc.",Morris,Grundy,igb_licensee_list,1400 N. Division St.,Morris,60450,,,needs_coordinates
130705620,TWIN OAKS CLUB,Adams County,Adams,igb_licensee_list,2707 BONANSINGA DRIVE,Quincy,62305,,,needs_coordinates
210700184,Twins75 SB LLC,South Beloit,Winnebago,igb_licensee_list,7060 First Ranger Dr,South Beloit,61080,,,needs_coordinates
240703031,Twisted Anchor Co.,Channahon,Will,igb_licensee_list,27425 S Will Rd,Channahon,60481,,,needs_coordinates
190703928,Twisted Spoke Saloon Corporation,Pekin,Tazewell,igb_licensee_list,251 Derby,Pekin,61554,,,needs_coordinates
160703449,Two Broke Girls LLC,Sawyerville,Macoupin,igb_licensee_list,203 Fisher Ave,Sawyerville,62085,,,needs_coordinates
130700661,"TWO DOG SALOON, INC.",Roodhouse,Greene,igb_licensee_list,104 S STATE,Roodhouse,62082,,,needs_coordinates
180701287,Two Doors Down Brewing LLC,Clinton,De Witt,igb_licensee_list,112 Warner Court,Clinton,61727,,,needs_coordinates
120709658,"Two Lucky Aces, Inc.",Antioch,Lake,igb_licensee_list,955 North IL Route 59,Antioch,60002,,,needs_coordinates
130705638,"Twostep, Inc.",Bloomington,McLean,igb_licensee_list,102 W Washington,Bloomington,61701,,,needs_coordinates
160703599,UFFELMAN CORPORATION,Carbondale,Jackson,igb_licensee_list,1224 A West Main St,Carbondale,62901,,,needs_coordinates
230702625,"UGLY RESTAURANT AND BAR, LLC",Springfield,,,,,,,,needs_address_and_coordinates
130700898,"Ultimate Lounge, Inc.",Villa Park,Dupage,igb_licensee_list,129 E. North Ave.,Villa Park,60181,,,needs_coordinates
210701779,Umiya LLC,Strasburg,Shelby,igb_licensee_list,100 S Walnut St,Strasburg,62465,,,needs_coordinates
250702825,UMIYA OGDEN LLC,Ogden,Champaign,igb_licensee_list,401 N MARKET ST,Ogden,61859,,,needs_coordinates
230703033,Umiya Shiva LLC,West City,Franklin,igb_licensee_list,102 North Central St.,West City,62812,,,needs_coordinates
250701893,Uncle Chucks Pizza LLC,La Salle,La Salle,igb_licensee_list,328 3rd St Suite C,LaSalle,61301,,,needs_coordinates
160700842,Uncle Fester's LLC,Fairview Heights,St. Clair,igb_licensee_list,5200 North Illinois Suite 105,Fairview Heights,62208,,,needs_coordinates
130703639,"UNCLE MONKEY'S, LLC",Illiopolis,Sangamon,igb_licensee_list,100 S. Dye Rd.,Illiopolis,625393806,,,needs_coordinates
140702754,"Up North Pub, Ltd.",Waukegan,Lake,igb_licensee_list,515 Greenwood Avenue,Waukegan,60085,,,needs_coordinates
240701499,URVASHI FOOD INC.,Niantic,Macon,igb_licensee_list,195 E LEWIS ST,Niantic,62551,,,needs_coordinates
240701014,"V.B. NORTH PIZZA, LLC",Plainfield,Will,igb_licensee_list,"12443 S ROUTE 59, UNIT 105",Plainfield,60585,,,needs_coordinates
210700567,"Valens Management, Inc.",Cahokia Heights,St. Clair,igb_licensee_list,4221 Old Missouri Avenue,Cahokia Heights,62207,,,needs_coordinates
130705093,"Valex, LLC",Orland Hills,Cook,igb_licensee_list,8800 W 159th St,Orland Hills,60487,,,needs_coordinates
210703128,Vapex Smoke Shop Inc.,Swansea,St. Clair,igb_licensee_list,1718 N Illinois St,Swansea,62226,,,needs_coordinates
220701611,"Variedades El Ranchito, LLC",Fairmont City,,,,,,,,needs_address_and_coordinates
120708465,"Variety Liquors, Inc.",Decatur,Macon,igb_licensee_list,1391 N. IL Route 48,Decatur,62526,,,needs_coordinates
130705877,Vedanta Inc.,Taylorville,Christian,igb_licensee_list,200 East Main Cross,Taylorville,62568,,,needs_coordinates
210700078,Veeru Inc.,New Athens,St. Clair,igb_licensee_list,508 S Jackson,New Athens,622641714,,,needs_coordinates
